family	n_sequences_total	n_sequences_sampled
RF01442	3	3
RF01443	3	3
RF01444	3	3
RF01445	3	3
RF01446	2	2
RF01447	3	3
RF01448	2	2
RF01449	3	3
RF01450	2	2
RF01451	1	1
RF01452	5	5
RF01453	3	3
RF01454	3	3
RF01455	131	10
RF01456	122	10
RF01457	22	10
RF01458	96	10
RF01459	10	10
RF01460	14	10
RF01461	6	6
RF01462	7	7
RF01463	5	5
RF01464	25	10
RF01465	3	3
RF01466	7	7
RF01467	8	8
RF01468	12	10
RF01469	9	9
RF01470	261	10
RF01471	47	10
RF01472	14	10
RF01473	23	10
RF01474	14	10
RF01475	15	10
RF01476	12	10
RF01477	5	5
RF01478	17	10
RF01479	11	10
RF01480	4	4
RF01481	16	10
RF01482	1198	10
RF01483	5	5
RF01484	4	4
RF01485	37	10
RF01486	8	8
RF01487	25	10
RF01488	6	6
RF01489	127	10
RF01490	9	9
RF01491	19	10
RF01492	758	10
RF01493	5	5
RF01494	186	10
RF01495	91	10
RF01496	566	10
RF01497	5868	10
RF01498	468	10
RF01499	126	10
RF01500	232	10
RF01501	130	10
RF01502	732	10
RF01503	15	10
RF01504	177	10
RF01505	454	10
RF01506	353	10
RF01507	317	10
RF01508	8	8
RF01509	485	10
RF01510	54	10
RF01511	518	10
RF01512	625	10
RF01513	504	10
RF01514	515	10
RF01515	516	10
RF01516	2	2
RF01517	154	10
RF01518	202	10
RF01519	50	10
RF01520	6	6
RF01521	67	10
RF01522	36	10
RF01523	14	10
RF01524	17	10
RF01525	20	10
RF01526	9	9
RF01527	100	10
RF01528	45	10
RF01529	176	10
RF01530	94	10
RF01531	16	10
RF01532	17	10
RF01533	14	10
RF01534	6	6
RF01535	13	10
RF01536	19	10
RF01537	16	10
RF01538	20	10
RF01539	40	10
RF01540	26	10
RF01541	30	10
RF01542	14	10
RF01543	28	10
RF01544	12	10
RF01545	7	7
RF01546	39	10
RF01547	35	10
RF01548	28	10
RF01549	22	10
RF01550	20	10
RF01551	6	6
RF01552	18	10
RF01553	15	10
RF01554	23	10
RF01555	17	10
RF01556	14	10
RF01557	14	10
RF01558	15	10
RF01559	2	2
RF01560	6	6
RF01561	6	6
RF01562	1	1
RF01563	3	3
RF01564	1	1
RF01565	2	2
RF01566	5	5
RF01567	1	1
RF01568	2	2
RF01569	3	3
RF01570	4	4
RF01572	2	2
RF01573	2	2
RF01574	2	2
RF01575	2	2
RF01576	1	1
RF01577	20	10
RF01578	12	10
RF01579	12	10
RF01580	4	4
RF01581	72	10
RF01582	27	10
RF01583	11	10
RF01584	5	5
RF01585	14	10
RF01586	12	10
RF01587	11	10
RF01588	32	10
RF01589	2	2
RF01590	5	5
RF01591	13	10
RF01592	16	10
RF01593	14	10
RF01594	13	10
RF01595	13	10
RF01596	19	10
RF01597	17	10
RF01598	15	10
RF01599	11	10
RF01600	15	10
RF01601	15	10
RF01602	14	10
RF01603	11	10
RF01604	11	10
RF01605	14	10
RF01606	9	9
RF01607	20	10
RF01608	11	10
RF01609	9	9
