family,model,n_truth,n_scored,n_missing,n_invalid,coverage,mean_f1,mean_mcc
RF00957,rnafold,25,25,0,0,1.0,0.5064062331671915,0.5030670771708592
RF00999,rnafold,5,5,0,0,1.0,0.7335459638400815,0.7304249635898055
RF01032,rnafold,11,11,0,0,1.0,0.859865180191859,0.8598521520286894
RF01051,rnafold,25,25,0,0,1.0,0.6834415171940192,0.6833207781360291
RF01053,rnafold,2,2,0,0,1.0,0.7711893369788108,0.7729190886626557
RF01055,rnafold,25,25,0,0,1.0,0.6403591849484194,0.6398466337752535
RF01057,rnafold,25,25,0,0,1.0,0.22225162144435018,0.23547079284130215
RF01073,rnafold,25,25,0,0,1.0,0.011851851851851851,0.004955010518764138
RF01076,rnafold,3,3,0,0,1.0,0.7468577399611883,0.7715614827315055
RF01088,rnafold,3,3,0,0,1.0,0.7716985277960888,0.7713863358508465
RF01090,rnafold,25,25,0,0,1.0,0.6179027671756309,0.6366217001579064
RF01092,rnafold,1,1,0,0,1.0,0.0,-0.006513754648058857
RF01094,rnafold,2,2,0,0,1.0,0.4782608695652174,0.5596349503666072
RF01096,rnafold,2,2,0,0,1.0,0.7402597402597402,0.7526086390744475
RF01097,rnafold,25,25,0,0,1.0,0.15681203007518796,0.15594712801246902
RF01098,rnafold,4,4,0,0,1.0,0.16666666666666666,0.17165607817547543
RF01103,rnafold,2,2,0,0,1.0,0.8333333333333334,0.843044003608323
RF01105,rnafold,1,1,0,0,1.0,0.8888888888888888,0.8931374611422798
RF01108,rnafold,1,1,0,0,1.0,1.0,1.0
RF01113,rnafold,3,3,0,0,1.0,0.0,-0.01601027542782693
RF01116,rnafold,25,25,0,0,1.0,0.9139031205201263,0.9156023949685644
RF01146,rnafold,2,2,0,0,1.0,0.0,0.0
RF01151,rnafold,25,25,0,0,1.0,0.0,0.0
RF01155,rnafold,25,25,0,0,1.0,0.0,0.0
RF01161,rnafold,25,25,0,0,1.0,0.0,0.0
RF01163,rnafold,25,25,0,0,1.0,0.0,0.0
RF01167,rnafold,9,9,0,0,1.0,0.16120946174586023,0.2218195316230641
RF01174,rnafold,25,25,0,0,1.0,0.0,0.0
RF01180,rnafold,25,25,0,0,1.0,0.6271699910148942,0.630312897542283
